Category,Disbursement,Percent
Democracy and Governance,828915298,0.105332016
Economic Development,2153869585,0.273696752
Education and Social Services,893254312,0.11350771
Environment,211275166,0.026847181
Health,2605956145,0.331144345
Humanitarian Assistance,533328557,0.067771185
Peace and Security,308706778,0.039228022
Program Management,334241629,0.042472789
